club,company,shaft,model,flex,weight,type,launch,spin
Irons,True Temper,Dynamic Gold,R300,R,127.0,Steel,low,low
Irons,True Temper,Dynamic Gold,S200,S,127.0,Steel,low,low
Irons,True Temper,Dynamic Gold,S300,S,130.0,Steel,low,low
Irons,True Temper,Dynamic Gold,S400,S,134.0,Steel,low,low
Irons,True Temper,Dynamic Gold,X100,X,130.0,Steel,low,low
Irons,True Temper,Dynamic Gold,Toure Issue S400,S,132.0,Steel,low,low
Irons,True Temper,Dynamic Gold,Toure Issue X100,X,130.0,Steel,low,low
Irons,True Temper,Dynamic Gold,EX Toure Issue S200,S,131.0,Steel,low,low
Irons,True Temper,Dynamic Gold,EX Toure Issue X100,X,132.0,Steel,low,low
Irons,True Temper,Dynamic Gold,Mid Tour Issue S200,S,130.0,Steel,mid,mid
Irons,True Temper,Dynamic Gold,Mid Tour Issue X100,X,130.0,Steel,mid,mid
Irons,True Temper,Dynamic Gold,120 Tour Issue S200,S,118.0,Steel,low,low
Irons,True Temper,Dynamic Gold,120 R300,R,116.0,Steel,low,low
Irons,True Temper,Dynamic Gold,120 S200,S,118.0,Steel,low,low
Irons,True Temper,Dynamic Gold,120 X100,X,120.0,Steel,low,low
Irons,True Temper,Dynamic Gold,115 S200,S,115.0,Steel,mid,mid
Irons,True Temper,Dynamic Gold,105 Tour Issue R300,R,101.0,Steel,mid,mid
Irons,True Temper,Dynamic Gold,105 Tour Issue S200,S,103.0,Steel,mid,mid
Irons,True Temper,Dynamic Gold,105 Tour Issue X100,X,105.0,Steel,mid,mid
Irons,True Temper,Dynamic Gold,105 R300,R,101.0,Steel,mid-low,mid
Irons,True Temper,Dynamic Gold,105 S200,S,103.0,Steel,mid-low,mid
Irons,True Temper,Dynamic Gold,105 X100,X,105.0,Steel,mid-low,mid
Irons,True Temper,Dynamic Gold,95 R300,R,95.0,Steel,high,high
Irons,True Temper,Dynamic Gold,95 S200,S,95.0,Steel,high,high
Irons,True Temper,Dynamic Gold,85 R300,R,86.0,Steel,high,high
Irons,True Temper,Dynamic Gold,85 S200,S,87.0,Steel,high,high
Irons,Project X,Rifle,5.0,R,110.0,Steel,low,low
Irons,Project X,Rifle,5.5,S,115.0,Steel,low,low
Irons,Project X,Rifle,6.0,X,120.0,Steel,low,low
Irons,Project X,Rifle,6.5,X,125.0,Steel,low,low
Irons,Project X,Rifle,7.0,TX,130.0,Steel,low,low
Irons,Project X,LS,6.0,X,120.0,Steel,low,low
Irons,Project X,LS,6.5,X,125.0,Steel,low,low
Irons,Project X,LS,7.0,TX,130.0,Steel,low,low
Irons,Project X,LZ,5.0,R,110.0,Steel,mid,mid
Irons,Project X,LZ,5.5,S,115.0,Steel,mid,mid
Irons,Project X,LZ,6.0,X,120.0,Steel,mid,mid
Irons,Project X,LZ,6.5,X,125.0,Steel,mid,mid
Irons,Project X,IO,5.5,S,115.0,Steel,mid-high,mid-high
Irons,Project X,IO,6.0,X,120.0,Steel,mid,mid
Irons,Project X,IO,6.5,X,125.0,Steel,mid-low,mid-low
Irons,NS PRO,Modus,Tour 105,R,103.0,Steel,mid,mid
Irons,NS PRO,Modus,Tour 105,S,106.0,Steel,mid,mid
Irons,NS PRO,Modus,Tour 105,X,112.0,Steel,mid,mid
Irons,NS PRO,Modus,Tour 120,R,111.0,Steel,mid-low,mid-low
Irons,NS PRO,Modus,Tour 120,S,114.0,Steel,mid-low,mid-low
Irons,NS PRO,Modus,Tour 120,X,120.0,Steel,mid-low,mid-low
Irons,NS PRO,Modus,Tour 120,TX,126.0,Steel,mid-low,mid-low
Irons,NS PRO,Modus,Tour 130,R,121.0,Steel,high,low
Irons,NS PRO,Modus,Tour 130,S,124.0,Steel,high,low
Irons,NS PRO,Modus,Tour 130,X,129.0,Steel,high,low
Irons,NS PRO,Neo,750 GH,R,74.5,Steel,high,high
Irons,NS PRO,Neo,750 GH,S,78.0,Steel,high,high
Irons,NS PRO,Neo,850 GH,R,84.5,Steel,high,high
Irons,NS PRO,Neo,850 GH,S,88.0,Steel,high,high
Irons,NS PRO,Neo,950 GH,R,94.5,Steel,high,high
Irons,NS PRO,Neo,950 GH,SR,97.0,Steel,high,high
Irons,NS PRO,Neo,950 GH,S,98.0,Steel,high,high
Irons,NS PRO,Neo,950 GH,X,104.0,Steel,high,high
Irons,NS PRO,Zelos,6,A,68.5,Steel,high,high
Irons,NS PRO,Zelos,7,R,74.0,Steel,high,high
Irons,NS PRO,Zelos,7,S,77.5,Steel,high,high
