club,company,shaft,model,flex,weight,torque,kick_point,launch
Woods,Fujikura,Ventus,Blue 5,R,58.5,3.7,mid,mid
Woods,Fujikura,Ventus,Blue 5,S,59,3.3,mid,mid
Woods,Fujikura,Ventus,Blue 6,S,65,3.1,mid,mid
Woods,Fujikura,Ventus,Blue 6,X,65,3.1,mid,mid
Woods,Fujikura,Ventus,Blue 7,S,76,3,mid,mid
Woods,Fujikura,Ventus,Blue 7,X,77.5,2.9,mid,mid
Woods,Fujikura,Ventus,Black 5,S,57.5,3.7,high,low
Woods,Fujikura,Ventus,Black 5,X,58.5,3.3,high,low
Woods,Fujikura,Ventus,Black 6,S,64,3.4,high,low
Woods,Fujikura,Ventus,Black 6,X,65,3.1,high,low
Woods,Fujikura,Ventus,Black 7,S,77,3.1,high,low
Woods,Fujikura,Ventus,Black 7,X,78,2.8,high,low
Hybrid,Fujikura,Ventus,Black HB 9,TX,96,2,high,
Hybrid,Fujikura,Ventus,Black HB 10,TX,105,1.8,high,
Woods,Fujikura,Ventus,TR Red 5,R,59.5,3.5,mid_low,mid_high
Woods,Fujikura,Ventus,TR Red 5,S,59.5,3.3,mid_low,mid_high
Woods,Fujikura,Ventus,TR Red 6,S,68,3.2,mid_low,mid_high
Woods,Fujikura,Ventus,TR Red 6,X,69.5,3,mid_low,mid_high
Woods,Fujikura,Ventus,TR Red 7,S,77,3,mid_low,mid_high
Woods,Fujikura,Ventus,TR Red 7,X,78,2.8,mid_low,mid_high
Woods,Fujikura,Ventus,TR Blue 5,R,58,3.5,mid_high,mid
Woods,Fujikura,Ventus,TR Blue 5,S,58,3.3,mid_high,mid
Woods,Fujikura,Ventus,TR Blue 6,S,68,3.1,mid_high,mid
Woods,Fujikura,Ventus,TR Blue 6,X,68,2.9,mid_high,mid
Woods,Fujikura,Ventus,TR Blue 7,S,77.5,2.9,mid_high,mid
Woods,Fujikura,Ventus,TR Blue 7,X,78.5,2.7,mid_high,mid
Woods,Fujikura,Ventus,TR Black 5,S,59,3.5,high,low
Woods,Fujikura,Ventus,TR Black 5,x,60,3.3,high,low
